Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
164,Dave Jamerson\jamerda01,SG,23,HOU,37,0,5.5,1.2,3.1,0.381,0.1,0.5,0.263,1,2.5,0.404,0.403,0.6,0.7,0.815,0.2,0.6,0.8,0.7,0.2,0,0.5,0.6,3.1
165,Henry James\jameshe01,PF,25,CLE,37,4,13.6,3,6.9,0.441,0.6,1.6,0.4,2.4,5.2,0.454,0.488,1.4,1.9,0.722,0.7,1.4,2.1,0.9,0.4,0.1,1,1.6,8.1
166,Les Jepsen\jepsele01,C,23,GSW,21,0,5,0.5,1.7,0.306,0,0,0,0.5,1.7,0.314,0.306,0.3,0.4,0.667,0.8,1,1.8,0,0,0.1,0.1,0.8,1.3
167,Avery Johnson\johnsav01,PG,25,TOT,68,14,14.1,1.9,4.1,0.469,0,0.1,0.111,1.9,3.9,0.481,0.471,0.9,1.3,0.678,0.3,0.8,1.1,3.4,0.7,0.1,1.1,0.9,4.7
167,Avery Johnson\johnsav01,PG,25,DEN,21,4,10.3,1.4,3.2,0.426,0,0.2,0,1.4,3,0.453,0.426,1,1.5,0.656,0.4,0.6,1,3.7,0.7,0.1,1.3,1,3.8
167,Avery Johnson\johnsav01,PG,25,SAS,47,10,15.8,2.1,4.4,0.483,0,0.1,0.2,2.1,4.3,0.49,0.486,0.8,1.2,0.691,0.3,0.9,1.2,3.3,0.7,0,1,0.9,5.1
168,Buck Johnson\johnsbu01,SF,27,HOU,73,70,31.2,5.7,12,0.477,0,0.2,0.133,5.7,11.8,0.483,0.478,2.2,3,0.727,1.5,3,4.5,1.9,1.1,0.6,1.7,3.3,13.6
169,Eddie Johnson\johnsed03,SG,31,TOT,81,27,25.7,6.7,13.9,0.484,0.5,1.5,0.325,6.2,12.4,0.503,0.501,2.8,3.2,0.891,1.3,2,3.3,1.4,0.7,0.1,1.5,2.2,16.7
169,Eddie Johnson\johnsed03,SG,31,PHO,15,0,20.8,5.9,12.4,0.473,0.4,1.4,0.286,5.5,11,0.497,0.489,1.4,1.9,0.724,1.1,2,3.1,1.1,0.6,0.1,1.6,2.5,13.5
169,Eddie Johnson\johnsed03,SG,31,SEA,66,27,26.9,6.9,14.2,0.486,0.5,1.5,0.333,6.4,12.7,0.504,0.504,3.2,3.5,0.912,1.4,2,3.4,1.4,0.7,0.1,1.5,2.2,17.4
170,Kevin Johnson\johnske02,PG,24,PHO,77,76,36,7.7,14.9,0.516,0.1,0.6,0.205,7.6,14.3,0.529,0.52,6.7,8,0.843,0.7,2.8,3.5,10.1,2.1,0.1,3.5,2.3,22.2
171,Magic Johnson*\johnsma02,PG,31,LAL,79,79,37.1,5.9,12.4,0.477,1,3.2,0.32,4.9,9.2,0.532,0.518,6.6,7.3,0.906,1.3,5.6,7,12.5,1.3,0.2,4,1.9,19.4
172,Steve Johnson\johnsst03,C,33,GSW,24,8,9.5,1.4,2.6,0.54,0,0,,1.4,2.6,0.54,0.54,0.9,1.5,0.595,0.8,1.6,2.4,0.7,0.2,0.2,1,2.1,3.8
173,Vinnie Johnson\johnsvi01,SG,34,DET,82,28,29.1,5,11.4,0.434,0.1,0.4,0.324,4.8,11,0.438,0.44,1.6,2.5,0.646,1.3,2.1,3.4,3.3,0.9,0.2,1.4,2,11.7
174,Charles Jones\jonesch01,C,33,WSB,62,54,24.2,1.1,2,0.54,0,0,,1.1,2,0.54,0.54,0.5,0.8,0.58,1.9,3.9,5.8,0.8,0.8,2,0.7,3.2,2.6
175,Michael Jordan*\jordami01,SG,27,CHI,82,82,37,12.1,22.4,0.539,0.4,1.1,0.312,11.7,21.3,0.551,0.547,7,8.2,0.851,1.4,4.6,6,5.5,2.7,1,2.5,2.8,31.5
176,Shawn Kemp\kempsh01,PF,21,SEA,81,66,30.1,5.7,11.2,0.508,0,0.1,0.167,5.7,11.1,0.513,0.509,3.6,5.4,0.661,3.3,5.1,8.4,1.8,1,1.5,2.5,3.9,15
177,Steve Kerr\kerrst01,PG,25,CLE,57,4,15.9,1.7,3.9,0.444,0.5,1.1,0.452,1.2,2.8,0.441,0.507,0.8,0.9,0.849,0.1,0.6,0.6,2.3,0.5,0.1,0.7,0.9,4.8
178,Jerome Kersey\kerseje01,SF,28,POR,73,72,32.3,5.8,12.2,0.478,0.1,0.2,0.308,5.8,12,0.481,0.48,3.2,4.5,0.709,2.3,4.3,6.6,3.1,1.4,1,2,3.4,14.8
179,Alec Kessler\kesslal01,C,24,MIA,78,18,16.1,2.6,6,0.425,0,0.1,0,2.6,5.9,0.429,0.425,1.1,1.7,0.672,1.5,2.8,4.3,0.4,0.2,0.3,1.4,2.4,6.2
180,Randolph Keys\keysra01,SF,24,CHH,44,0,10.8,1.3,3.3,0.407,0.1,0.3,0.214,1.3,3,0.427,0.417,0.4,0.8,0.576,0.9,1.4,2.3,0.4,0.5,0.3,0.8,2.1,3.2
181,Bo Kimble\kimblbo01,SG,24,LAC,62,22,16.2,2.6,6.7,0.38,0.3,1,0.292,2.3,5.7,0.397,0.403,1.5,1.9,0.773,0.7,1.2,1.9,1.2,0.5,0.1,1.2,2.5,6.9
182,Bernard King*\kingbe01,SF,34,WSB,64,64,37.5,11.1,23.6,0.472,0.1,0.6,0.216,11,23,0.478,0.475,6,7.6,0.79,1.8,3.2,5,4.6,0.9,0.3,4,2.9,28.4
183,Stacey King\kingst01,PF,24,CHI,76,6,15.8,2.1,4.4,0.467,0,0,0,2.1,4.4,0.47,0.467,1.4,2,0.704,0.9,1.8,2.7,0.9,0.3,0.6,1.2,1.8,5.5
184,Greg Kite\kitegr01,C,29,ORL,82,82,27.1,2,4.1,0.491,0,0,,2,4.1,0.491,0.491,0.8,1.5,0.512,2.3,4.9,7.2,0.7,0.3,1,1.2,3.6,4.8
